global_idx,tree_idx,node_idx,left_idx,right_idx,split_value,feature_idx,is_leaf,label
12043,47,11,-1,-1,256.000000,-1,1,0
12044,47,12,-1,-1,256.000000,-1,1,1
12045,47,13,-1,-1,256.000000,-1,1,1
12046,47,14,12047,12048,0.302528,0,0,0
12047,47,15,-1,-1,256.000000,-1,1,1
12048,47,16,-1,-1,256.000000,-1,1,0
12288,48,0,12289,12290,0.722527,4,0,0
12289,48,1,12291,12292,0.562513,4,0,0
12290,48,2,12293,12294,0.517406,0,0,0
12291,48,3,-1,-1,256.000000,-1,1,0
12292,48,4,12295,12296,0.679169,4,0,0
12293,48,5,-1,-1,256.000000,-1,1,0
12294,48,6,12297,12298,0.745459,4,0,0
12295,48,7,-1,-1,256.000000,-1,1,1
12296,48,8,12299,12300,0.822334,0,0,0
12297,48,9,-1,-1,256.000000,-1,1,0
12298,48,10,12301,12302,0.179153,2,0,0
12299,48,11,12303,12304,0.730024,0,0,0
12300,48,12,-1,-1,256.000000,-1,1,1
12301,48,13,-1,-1,256.000000,-1,1,1
12302,48,14,12305,12306,0.645946,0,0,0
12303,48,15,-1,-1,256.000000,-1,1,1
12304,48,16,-1,-1,256.000000,-1,1,0
12305,48,17,-1,-1,256.000000,-1,1,1
12306,48,18,-1,-1,256.000000,-1,1,0
12544,49,0,12545,12546,0.755938,4,0,0
12545,49,1,12547,12548,0.562513,4,0,0
12546,49,2,12549,12550,0.515189,0,0,0
12547,49,3,12551,12552,0.325502,0,0,0
12548,49,4,12553,12554,0.745879,4,0,0
12549,49,5,-1,-1,256.000000,-1,1,0
12550,49,6,12555,12556,0.206985,2,0,0
12551,49,7,-1,-1,256.000000,-1,1,1
12552,49,8,-1,-1,256.000000,-1,1,0
12553,49,9,-1,-1,256.000000,-1,1,1
12554,49,10,12557,12558,0.584322,0,0,0
12555,49,11,-1,-1,256.000000,-1,1,1
12556,49,12,12559,12560,0.649188,0,0,0
12557,49,13,-1,-1,256.000000,-1,1,0
12558,49,14,-1,-1,256.000000,-1,1,1
12559,49,15,-1,-1,256.000000,-1,1,1
12560,49,16,-1,-1,256.000000,-1,1,0
12800,50,0,12801,12802,0.753744,4,0,0
12801,50,1,12803,12804,0.562513,4,0,0
12802,50,2,12805,12806,0.526010,0,0,0
12803,50,3,-1,-1,256.000000,-1,1,0
12804,50,4,12807,12808,0.681982,4,0,0
12805,50,5,-1,-1,256.000000,-1,1,0
12806,50,6,-1,-1,256.000000,-1,1,1
12807,50,7,-1,-1,256.000000,-1,1,1
12808,50,8,12809,12810,0.890489,0,0,0
12809,50,9,12811,12812,0.792678,0,0,0
12810,50,10,-1,-1,256.000000,-1,1,1
12811,50,11,-1,-1,256.000000,-1,1,1
12812,50,12,12813,12814,0.988944,3,0,0
12813,50,13,-1,-1,256.000000,-1,1,0
12814,50,14,-1,-1,256.000000,-1,1,1
13056,51,0,13057,13058,0.753464,4,0,0
13057,51,1,13059,13060,0.562513,4,0,0
13058,51,2,13061,13062,0.512702,0,0,0
13059,51,3,13063,13064,0.376614,0,0,0
13060,51,4,13065,13066,0.994940,0,0,0
13061,51,5,-1,-1,256.000000,-1,1,0
13062,51,6,13067,13068,0.966256,0,0,0
13063,51,7,-1,-1,256.000000,-1,1,1
13064,51,8,-1,-1,256.000000,-1,1,0
13065,51,9,13069,13070,0.690071,4,0,0
13066,51,10,-1,-1,256.000000,-1,1,0
13067,51,11,13071,13072,0.154482,1,0,0
13068,51,12,-1,-1,256.000000,-1,1,0
13069,51,13,-1,-1,256.000000,-1,1,1
13070,51,14,13073,13074,0.690941,4,0,0
13071,51,15,-1,-1,256.000000,-1,1,1
13072,51,16,13075,13076,0.649714,0,0,0
13073,51,17,13077,13078,0.740169,0,0,0
13074,51,18,-1,-1,256.000000,-1,1,1
13075,51,19,-1,-1,256.000000,-1,1,1
13076,51,20,-1,-1,256.000000,-1,1,0
13077,51,21,-1,-1,256.000000,-1,1,1
13078,51,22,-1,-1,256.000000,-1,1,0
13312,52,0,13313,13314,0.755667,4,0,0
13313,52,1,13315,13316,0.562513,4,0,0
13314,52,2,13317,13318,0.507964,0,0,0
13315,52,3,13319,13320,0.492781,0,0,0
13316,52,4,13321,13322,0.995384,0,0,0
13317,52,5,-1,-1,256.000000,-1,1,0
13318,52,6,-1,-1,256.000000,-1,1,1
13319,52,7,-1,-1,256.000000,-1,1,0
13320,52,8,-1,-1,256.000000,-1,1,1
13321,52,9,13323,13324,0.681015,4,0,0
13322,52,10,-1,-1,256.000000,-1,1,0
13323,52,11,-1,-1,256.000000,-1,1,1
13324,52,12,13325,13326,0.684732,4,0,0
13325,52,13,-1,-1,256.000000,-1,1,0
13326,52,14,13327,13328,0.807656,0,0,0
13327,52,15,13329,13330,0.749441,0,0,0
